location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Azerbaijan,2021-01-17,Sinovac,https://eurasianet.org/azerbaijan-starts-mass-covid-19-vaccinations,0,0,
Azerbaijan,2021-02-06,Sinovac,https://eurasianet.org/azerbaijan-starts-mass-covid-19-vaccinations,65000,65000,
Azerbaijan,2021-03-01,Sinovac,https://koronavirusinfo.az/az/post/675,293360,293360,
Azerbaijan,2021-03-03,Sinovac,https://koronavirusinfo.az/az/post/679,337315,337315,
Azerbaijan,2021-03-09,Sinovac,https://koronavirusinfo.az/az/post/689,411496,411496,
Azerbaijan,2021-03-10,Sinovac,https://koronavirusinfo.az/az/post/691,428635,428635,
Azerbaijan,2021-03-11,Sinovac,https://koronavirusinfo.az/az/post/693,436849,436849,
Azerbaijan,2021-03-12,Sinovac,https://koronavirusinfo.az/az/post/696,443888,443888,
Azerbaijan,2021-03-13,Sinovac,https://koronavirusinfo.az/az/post/698,450316,450316,
Azerbaijan,2021-03-14,Sinovac,https://koronavirusinfo.az/az/post/700,453586,453586,
Azerbaijan,2021-03-20,Sinovac,https://koronavirusinfo.az/az/post/715,482664,482664,
Azerbaijan,2021-03-26,Sinovac,https://koronavirusinfo.az/az/post/725,510420,510420,
Azerbaijan,2021-04-01,Sinovac,https://koronavirusinfo.az/az/post/738,856363,558485,297878
Azerbaijan,2021-04-02,Sinovac,https://koronavirusinfo.az/az/post/740,889033,569994,319039
Azerbaijan,2021-04-03,Sinovac,https://koronavirusinfo.az/az/post/741,924813,582463,342350
Azerbaijan,2021-04-04,Sinovac,https://koronavirusinfo.az/az/post/743,947745,590914,356831
Azerbaijan,2021-04-05,Sinovac,https://koronavirusinfo.az/az/post/745,947947,591012,356935
Azerbaijan,2021-04-06,Sinovac,https://koronavirusinfo.az/az/post/749,982291,611471,370820
Azerbaijan,2021-04-07,Sinovac,https://koronavirusinfo.az/az/post/751,1025790,639463,386327
Azerbaijan,2021-04-08,Sinovac,https://koronavirusinfo.az/az/post/753,1069488,672503,396985
Azerbaijan,2021-04-09,Sinovac,https://koronavirusinfo.az/az/post/754,1111722,706433,405289
Azerbaijan,2021-04-10,Sinovac,https://koronavirusinfo.az/az/post/756,1153549,739319,414230
Azerbaijan,2021-04-11,Sinovac,https://koronavirusinfo.az/az/post/759,1177087,758275,418812
