location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Barbados,2021-02-15,Oxford/AstraZeneca,https://www.facebook.com/moh.barbados/photos/a.768944336470972/3945804398784934,4490,4490,
Barbados,2021-02-16,Oxford/AstraZeneca,https://www.facebook.com/moh.barbados/photos/a.768944336470972/3948250111873696,6683,6683,
Barbados,2021-02-17,Oxford/AstraZeneca,https://www.facebook.com/moh.barbados/posts/3949658301732877,9115,9115,
Barbados,2021-02-18,Oxford/AstraZeneca,https://www.facebook.com/moh.barbados/photos/a.768944336470972/3952152571483450/,11494,11494,
Barbados,2021-02-19,Oxford/AstraZeneca,https://www.facebook.com/moh.barbados/photos/a.768944336470972/3954626434569397/,14411,14411,
Barbados,2021-02-20,Oxford/AstraZeneca,https://www.facebook.com/moh.barbados/photos/a.768944336470972/3957184684313572/,15837,15837,
Barbados,2021-02-21,Oxford/AstraZeneca,https://www.facebook.com/moh.barbados/photos/a.768944336470972/3959608410737866/,16544,16544,
Barbados,2021-02-22,Oxford/AstraZeneca,https://www.facebook.com/moh.barbados/photos/a.768944336470972/3962351143796926/,19089,19089,
Barbados,2021-02-23,Oxford/AstraZeneca,https://www.facebook.com/moh.barbados/photos/a.768944336470972/3966616180037089/,22037,22037,
Barbados,2021-02-24,Oxford/AstraZeneca,https://www.facebook.com/moh.barbados/photos/a.768944336470972/3972239049474802/,25578,25578,
Barbados,2021-02-25,Oxford/AstraZeneca,https://www.facebook.com/moh.barbados/photos/a.768944336470972/3977307822301258/,29283,29283,
Barbados,2021-02-26,Oxford/AstraZeneca,https://www.facebook.com/moh.barbados/photos/a.768944336470972/3981348451897195/,33633,33633,
Barbados,2021-02-27,Oxford/AstraZeneca,https://www.facebook.com/moh.barbados/photos/a.768944336470972/3983740234991350/,36749,36749,
Barbados,2021-02-28,Oxford/AstraZeneca,https://www.facebook.com/moh.barbados/photos/a.768944336470972/3986246634740710/,38615,38615,
Barbados,2021-03-01,Oxford/AstraZeneca,https://www.facebook.com/moh.barbados/photos/a.768944336470972/3988706981161342/,41125,41125,
Barbados,2021-03-02,Oxford/AstraZeneca,https://www.facebook.com/moh.barbados/photos/a.768944336470972/3991305347568172/,43235,43235,
Barbados,2021-03-03,Oxford/AstraZeneca,https://www.facebook.com/moh.barbados/photos/a.768944336470972/3993514877347219/,44859,44859,
Barbados,2021-03-04,Oxford/AstraZeneca,https://www.facebook.com/moh.barbados/photos/a.768944336470972/3996175687081138/,46442,46442,
Barbados,2021-03-05,Oxford/AstraZeneca,https://www.facebook.com/moh.barbados/photos/a.768944336470972/3998678090164231,48480,48480,
Barbados,2021-03-06,Oxford/AstraZeneca,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4001163609915679/,48886,48886,
Barbados,2021-03-07,Oxford/AstraZeneca,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4003837389648301/,49317,49317,
